udc	UDC (Universal Decimal Classification)
sdnb	DNB (Systematik der Deutschen Nationalbibliographie)
methepp	Methode Eppelsheimer
bkl	BK (Basisklassifikation)
rvk	RVK (Regensburger Verbundklassifikation)
ghbs	Gesamthochschulbibliothekssystematik (GHBS)
njb	NDC (Nippon Decimal Classification)
kktb	NDLC (National Diet Library Classification)
rpb	RPB (Rheinland-Pfälzische Bibliographie)
msc	MSC (Mathematics Subject Classification)
nwbib	NWB (Nordrhein-Westfälische Bibliographie)
asb	ASB (Allgemeine Systematik für Bibliotheken)
ssd	SSD (Systematik der Stadtbibliothek Duisburg)
sfb	SfB (Systematik für Bibliotheken)
kab	KAB (Klassifikation für Allgemeinbibliotheken)
ekz	Systematiken der ekz
stub	Systematik der TUB München
dopaed	DOPAED der UB Erlangen
ifzs	IFZ-Systematik
sbb	Systematik der Bayerischen Bibliographie
zdbs	ZDB-Systematik
