Formschlagwort	GND-NID
Adressbuch	4141451-2
Altkarte	4611904-8
Amateurfilm	4132119-4
Amtliche Publikation	4142300-8
Animationsfilm	4142484-0
Anleitung	4142527-3
Anthologie	4002214-6
Antiquariatskatalog	4142738-5
Anzeigenblatt	4142761-0
Atlas	4143303-8
Aufgabensammlung	4143389-0
Aufsatzsammlung	4143413-4
Auktionskatalog	4143482-1
Ausstellungskatalog	4135467-9
Autobiografie	4003939-0
Autograf	4003942-0
Backbuch	1071926306
Beispielsammlung	4144384-6
Bericht	4128022-2
Bestimmungsbuch	4144950-2
Bibliografie	4006432-3
Bild	4006568-6
Bildband	4145395-5
Bilderbogen	4145402-9
Bilderbuch	4006604-6
Bildkarte	4744722-9
Bildnis	4006627-7
Bildwörterbuch	4145505-8
Biografie	4006804-3
Blindendruck	4282504-0
Blockbuch	4007178-9
Brief	4008240-4
Briefsammlung	4146609-3
Buchobjekt	4269067-5
Bühnenmanuskript	1202575048
Checkliste	4398750-3
Comic	4010427-8
Datenbank	4011119-2
Datensammlung	4148875-1
Diagramm	4012044-2
Diskografie	1071864416
Dissertation <Alter Druck>	125354915X
Dokumentarfilm	4012653-5
Drehbuch	4127976-1
Einblattdruck	4151236-4
Einführung	4151278-9
Entscheidungssammlung	4152408-1
Enzyklopädie	4014986-9
Erlebnisbericht	4133254-4
Exlibris	4015985-1
Fachkunde	4153488-8
Fahrplan	4153563-7
Faksimile	4153591-1
Fallsammlung	4153616-2
Fallstudiensammlung	4522595-3
Fernsehsendung	4016842-6
Fernsehserie	4154072-4
Festschrift	4016928-5
Fiktionale Darstellung	1071854844
Film	4017102-4
Filmografie	1071861980
Flugblatt	4071280-1
Flugschrift	4154770-6
Formelsammlung	4155008-0
Formularsammlung	4155034-1
Forschungsbericht	4155043-2
Forschungsdaten	1098579690
Fotobuch	7660057-9
Fotografie	4045895-7
Führer	4155569-7
Fundstellenverzeichnis	4155642-2
Gebetbuch	4019515-6
Gelegenheitsschrift	4156438-8
genealogische Tafel	4156582-4
Gesangbuch	4137651-1
Gesetzesmaterialien	1119181364
Gespräch	4020713-4
Getränkekarte	1350087343
Globus	4157633-0
Grafik	4021845-4
Graphic Novel	7658564-5
Graphzine	1032889837
Grünbuch	7619734-7
Handschrift	4023287-6
Haushaltsplan	4072349-5
Hochschulschrift	4113937-9
Hörbuch	4329497-2
Hörspiel	4025435-5
Humoristische Darstellung	4160799-5
Inkunabel	4027041-5
Interview	4027503-6
Inventar	4027540-1
Jugendbuch	4306252-0
Jugendsachbuch	4028933-3
Kalender	4029290-3
Kamishibai	7500391-0
Karikatur	4029670-2
Karte	4029783-4
Kartenwerk	4272005-9
Katalog	4163417-2
Katechismus	4131748-8
Kinderbuch	4303251-5
Kindersachbuch	4163854-2
Kochbuch	4114240-8
Kolumnensammlung	1071862448
Kommentar	4136710-8
Konferenzschrift	1071861417
Konkordanz	4165001-3
Konzertzettel	1332430376
Kunstführer	4166029-8
Künstlerbuch	4229053-3
Künstlerpostkarte	4165892-9
Kurzfilm	4166233-7
Laudatio	4339326-3
Lehrbuch	4123623-3
Lehrerhandbuch	4167168-5
Lehrfilm	4167177-6
Lehrmittel	4074111-4
Lehrplan	4035117-8
Leichenpredigt	4074117-5
Lernsoftware	4126464-2
Lesebuch	4035435-0
Libretto	4035588-3
Liederbuch	4167634-8
Literaturbericht	4167870-9
Lokalzeitung	4074317-2
Loseblattsammlung	4343271-2
Manuskriptkarte	1268890804
Mehrsprachiges Wörterbuch	4491366-7
Menükarte	1350087084
Mitgliederverzeichnis	4170173-2
Modell	4039798-1
Monografische Reihe	4179998-7
Musikhandschrift	4040847-4
Nachruf	4128540-2
Norm	4419668-4
Ortsansicht	4172885-3
Ortsverzeichnis	4067870-2
Panorama	4173182-7
Papyrus	4044571-9
Patentschrift	4173536-5
Persönliches Fotobuch	1332426751
Plakat	4046198-1
Plan	4188555-7
Podcast	7527248-9
Pop-up-Buch	1277766630
Postkarte	4046902-5
Praktikum	4127380-1
Predigt	4047089-1
Predigthilfe	4175601-0
Pressendruck	4159043-0
Pressestimme	4175662-9
Programmheft	4373950-7
Puzzle	4124005-4
Quelle	4135952-5
Ratgeber	4048476-2
Rede	4048882-2
Referateorgan	4177322-6
Regest	4049007-5
Regiebuch	4364687-6
Regionalzeitung	4177435-8
Reisebericht	4076645-7
Reportagensammlung	107186257X
Rezension	4049712-4
Richtlinie	4137814-3
Röntgenbild	4227590-8
Rückläufiges Wörterbuch	4178645-2
Sachbilderbuch	4221860-3
Sachcomic	1042847282
Satzung	4051778-0
Schaustellerblatt	1369452020
Schematismus	4179484-9
Schulbuch	4053458-3
Schulprogramm	4077211-1
Software	4055382-6
Speisekarte	4056112-4
Spiel	4056218-9
Spielfilm	1286825091
Sprachatlas	4056446-0
Sprachführer	4130010-5
Stadtplan	4129845-7
Statistik	4056995-0
Stummfilm	4058257-7
Stundenbuch	4132719-6
Tabelle	4184303-4
Tafel	4184335-6
Tagebuch	4058900-6
Technische Zeichnung	4133914-9
Telefonbuch	4184643-6
Testmaterial	4184834-2
Theaterstück	4304080-9
Theaterzettel	4185060-9
Thesaurus	4185172-9
Übungssammlung	4222208-4
Umfrage	4005227-8
Unterrichtseinheit	4187074-8
Urkunde	4062132-7
Vedute	4001393-5
Verkaufskatalog	4187788-3
Verzeichnis	4188171-0
Vogelschaukarte	1268954381
Vorlesungsverzeichnis	4188684-7
Wandkarte	4124433-3
Weblog	4678688-0
Website	4596172-4
Weltkarte	4065368-7
Werkverzeichnis	4189680-4
Werkzeitschrift	4189682-8
Wochenschau	4190144-7
Wörterbuch	4066724-8
Zeichnung	4127900-1
Zeitschrift	4067488-5
Zeitung	4067510-5
