MainLibraryCode+SublibraryCode	ISIL
49HBZ_BRS+EMPTY	DE-1044
49HBZ_BRS+HEN	DE-1044
49HBZ_BRS+RHB	DE-1044
49HBZ_BRS+RHBE	DE-1044
49HBZ_BRS+SIE	DE-Sie5
49HBZ_BRS+STA	DE-1044
49HBZ_FSW+I5001	DE-Hag4
49HBZ_FSW+I5002	DE-Hag4-2
49HBZ_FSW+I5003	DE-Hag4-3
49HBZ_FSW+I5004	DE-Hag4-4
49HBZ_FSW+I5005	DE-Hag4-E
49HBZ_UBA+001	DE-82-001
49HBZ_UBA+002	DE-82-002
49HBZ_UBA+003	DE-82-003
49HBZ_UBA+004	DE-82-004
49HBZ_UBA+005	DE-82-005
49HBZ_UBA+006	DE-82-006
49HBZ_UBA+007	DE-82-007
49HBZ_UBA+008	DE-82-008
49HBZ_UBA+009	DE-82-009
49HBZ_UBA+010	DE-82-010
49HBZ_UBA+011	DE-82-011
49HBZ_UBA+101	DE-82-101
49HBZ_UBA+102	DE-82-102
49HBZ_UBA+103	DE-82-103
49HBZ_UBA+107	DE-82-107
49HBZ_UBA+108	DE-82-108
49HBZ_UBA+109	DE-82-109
49HBZ_UBA+110	DE-82-110
49HBZ_UBA+115	DE-82-115
49HBZ_UBA+119	DE-82-119
49HBZ_UBA+127	DE-82-127
49HBZ_UBA+128	DE-82-128
49HBZ_UBA+201	DE-82-201
49HBZ_UBA+202	DE-82-202
49HBZ_UBA+203	DE-82-203
49HBZ_UBA+204	DE-82-204
49HBZ_UBA+205	DE-82-205
49HBZ_UBA+206	DE-82-206
49HBZ_UBA+207	DE-82-207
49HBZ_UBA+208	DE-82-208
49HBZ_UBA+209	DE-82-209
49HBZ_UBA+211	DE-82-211
49HBZ_UBA+212	DE-82-212
49HBZ_UBA+213	DE-82-213
49HBZ_UBA+215	DE-82-215
49HBZ_UBA+216	DE-82-216
49HBZ_UBA+217	DE-82-217
49HBZ_UBA+218	DE-82-218
49HBZ_UBA+219	DE-82-219
49HBZ_UBA+220	DE-82-220
49HBZ_UBA+221	DE-82-221
49HBZ_UBA+222	DE-82-222
49HBZ_UBA+223	DE-82-223
49HBZ_UBA+224	DE-82-224
49HBZ_UBA+230	DE-82-230
49HBZ_UBA+232	DE-82-232
49HBZ_UBA+233	DE-82-233
49HBZ_UBA+302	DE-82-302
49HBZ_UBA+303	DE-82-303
49HBZ_UBA+304	DE-82-304
49HBZ_UBA+305	DE-82-305
49HBZ_UBA+306	DE-82-306
49HBZ_UBA+307	DE-82-307
49HBZ_UBA+309	DE-82-309
49HBZ_UBA+310	DE-82-310
49HBZ_UBA+311	DE-82-311
49HBZ_UBA+312	DE-82-312
49HBZ_UBA+313	DE-82-313
49HBZ_UBA+314	DE-82-314
49HBZ_UBA+315	DE-82-315
49HBZ_UBA+316	DE-82-316
49HBZ_UBA+317	DE-82-317
49HBZ_UBA+318	DE-82-318
49HBZ_UBA+319	DE-82-319
49HBZ_UBA+320	DE-82-320
49HBZ_UBA+321	DE-82-321
49HBZ_UBA+322	DE-82-322
49HBZ_UBA+323	DE-82-323
49HBZ_UBA+324	DE-82-324
49HBZ_UBA+325	DE-82-325
49HBZ_UBA+326	DE-82-326
49HBZ_UBA+327	DE-82-327
49HBZ_UBA+328	DE-82-328
49HBZ_UBA+332	DE-82-332
49HBZ_UBA+333	DE-82-333
49HBZ_UBA+334	DE-82-334
49HBZ_UBA+335	DE-82-335
49HBZ_UBA+336	DE-82-336
49HBZ_UBA+337	DE-82-337
49HBZ_UBA+401	DE-82-401
49HBZ_UBA+402	DE-82-402
49HBZ_UBA+403	DE-82-403
49HBZ_UBA+404	DE-82-404
49HBZ_UBA+405	DE-82-405
