MainLibraryCode+AlmaSuppressedLocations	status
49HBZ_DET+RES_SHARE	suppressed
49HBZ_EVH+XXX	suppressed
49HBZ_FDO+EFS_NonMed	suppressed
49HBZ_FDO+EFS_Verw	suppressed
49HBZ_FDO+MOP_NonMed	suppressed
49HBZ_FDO+OUT_RS_REQ	suppressed
49HBZ_FDO+SON_NonMed	suppressed
49HBZ_FHA+ILL	suppressed
49HBZ_FHM+DMB_F	suppressed
49HBZ_FHM+DMB_H	suppressed
49HBZ_FHM+DMB_S	suppressed
49HBZ_FHM+ILL	suppressed
49HBZ_FHM+LBA_V	suppressed
49HBZ_FHM+PB_V	suppressed
49HBZ_FHM+Stb_B	suppressed
49HBZ_FHM+TsH_F	suppressed
49HBZ_FHM+TsH_S	suppressed
49HBZ_FHM+TsM_F	suppressed
49HBZ_FHM+TsM_H	suppressed
49HBZ_FHM+TsM_L	suppressed
49HBZ_FHM+TsM_S	suppressed
49HBZ_FHM+TsT_H	suppressed
49HBZ_FHM+TsT_L	suppressed
49HBZ_FHM+TsT_S	suppressed
49HBZ_FUH+AUSTRA	suppressed
49HBZ_HBI+BiblVerw	suppressed
49HBZ_HBI+CB_ZSReg	suppressed
49HBZ_HBI+CM_Schran	suppressed
49HBZ_HBI+CM_ZSReg	suppressed
49HBZ_HBI+Dauerausl	suppressed
49HBZ_HBI+ILL_CB	suppressed
49HBZ_HBI+ILL_CM	suppressed
49HBZ_HBI+ILL	suppressed
49HBZ_HBI+LAM_ZSReg	suppressed
49HBZ_HBO+OUT_RS_REQ	suppressed
49HBZ_HSD+AusS	suppressed
49HBZ_HSN+ILL	suppressed
49HBZ_OWL+ILL	suppressed
49HBZ_PAD+LL	suppressed
49HBZ_PAD+MI	suppressed
49HBZ_RHW+KAM AFL	suppressed
49HBZ_RHW+KAM PFL	suppressed
49HBZ_RHW+KLE AFL	suppressed
49HBZ_RHW+KLE PFL	suppressed
49HBZ_RUW+ILL	suppressed
49HBZ_RUW+SF_MH	suppressed
49HBZ_RUW+UNASSIGNED	suppressed
49HBZ_THK+LOESCH_D	suppressed
49HBZ_THK+LOESCH_G	suppressed
49HBZ_THK+LOESCH_L	suppressed
49HBZ_THK+LOESCH_S	suppressed
49HBZ_THK+PFL	suppressed
49HBZ_UBD+BAB SemApp	suppressed
49HBZ_UBD+BAB Verm-Auss	suppressed
49HBZ_UBD+BHA Archiv	suppressed
49HBZ_UBD+BHA Ausbildung	suppressed
49HBZ_UBD+BHA Best-Aufb	suppressed
49HBZ_UBD+BHA Direktion	suppressed
49HBZ_UBD+BHA Geschichte	suppressed
49HBZ_UBD+BHA Philosoph	suppressed
49HBZ_UBD+BHA Physik	suppressed
49HBZ_UBD+BHA Theologie	suppressed
49HBZ_UBD+BHA Wirtschaft	suppressed
49HBZ_UBD+BR SemApp	suppressed
49HBZ_UBD+BR Verm-Auss	suppressed
49HBZ_UBD+EFB SchliessF	suppressed
49HBZ_UBD+EFB SemApp	suppressed
49HBZ_UBD+EFB Verm-Auss	suppressed
49HBZ_UBD+HA CET_InnoL	suppressed
49HBZ_UBD+HA CET	suppressed
49HBZ_UBD+HA Dez_Bau	suppressed
49HBZ_UBD+HA DoBuS	suppressed
49HBZ_UBD+HA DoKoLL	suppressed
49HBZ_UBD+HA FunkenReha	suppressed
49HBZ_UBD+HA Funken	suppressed
49HBZ_UBD+HA FunkenTheo	suppressed
49HBZ_UBD+HA HDZ	suppressed
49HBZ_UBD+HA HRZ	suppressed
49HBZ_UBD+HA HSP	suppressed
49HBZ_UBD+HA IFS	suppressed
49HBZ_UBD+HA itmc	suppressed
49HBZ_UBD+HA K4D	suppressed
49HBZ_UBD+HA LH0003	suppressed
49HBZ_UBD+HA LH0007	suppressed
49HBZ_UBD+HA LH0024	suppressed
49HBZ_UBD+HA LH0028	suppressed
49HBZ_UBD+HA LH0030W	suppressed
49HBZ_UBD+HA LH0032	suppressed
49HBZ_UBD+HA LH0033	suppressed
49HBZ_UBD+HA LH0048	suppressed
49HBZ_UBD+HA LH0067	suppressed
49HBZ_UBD+HA LH0069	suppressed
49HBZ_UBD+HA LH0072P	suppressed
49HBZ_UBD+HA LH0072	suppressed
49HBZ_UBD+HA LH0075	suppressed
49HBZ_UBD+HA LH0079	suppressed
49HBZ_UBD+HA LH0084	suppressed
49HBZ_UBD+HA LH0085	suppressed
49HBZ_UBD+HA LH0087	suppressed
49HBZ_UBD+HA LH0090	suppressed
49HBZ_UBD+HA LH0093	suppressed
49HBZ_UBD+HA LH0095	suppressed
49HBZ_UBD+HA LH0097	suppressed
49HBZ_UBD+HA LH0101	suppressed
49HBZ_UBD+HA LH0102P	suppressed
49HBZ_UBD+HA LH0102	suppressed
49HBZ_UBD+HA LH0105P	suppressed
49HBZ_UBD+HA LH0105	suppressed
49HBZ_UBD+HA LH0110P	suppressed
49HBZ_UBD+HA LH0110	suppressed
49HBZ_UBD+HA LH0112P	suppressed
49HBZ_UBD+HA LH0112	suppressed
49HBZ_UBD+HA LH0132P	suppressed
49HBZ_UBD+HA LH0132	suppressed
49HBZ_UBD+HA LH0150	suppressed
49HBZ_UBD+HA LH0151	suppressed
49HBZ_UBD+HA LH0155	suppressed
49HBZ_UBD+HA LH0157P	suppressed
49HBZ_UBD+HA LH0173	suppressed
49HBZ_UBD+HA LH0176	suppressed
49HBZ_UBD+HA LH0177	suppressed
49HBZ_UBD+HA LH0180	suppressed
49HBZ_UBD+HA LH0182	suppressed
49HBZ_UBD+HA LH0183	suppressed
