hsg_owner	hsg_adm	hsg_sigil	hsg_kurzbenennung	hsg_bibliothek	hsg_geloescht	hsg_id
BR001	BDR50	Bm 3	BO: Bibl. Ruhrgebiet	Bibliothek des Ruhrgebiets, Bochum	NULL	3001
BR002	BDR50	Bm 3/2	BO: Bibl. Ruhrgebiet	Bibliothek des Ruhrgebiets, Bochum (frü	her: Bibliothek zur Geschichte der Arbeiterbewegung, Bochum; Bm 41)	NULL	3002
BR003	BDR50	Bm 3/3	BO: Bibl. Ruhrgebiet	Bibliothek des Ruhrgebiets, Bochum (frü	her: Bergbau-Bücherei, Essen; E 1)	NULL	3003
BR004	BDR50	Bm 3/4	BO: Bibl. Ruhrgebiet	Bibliothek des Ruhrgebiets, Bochum, Dokumentationsstelle Ruhrgebiet	NULL	3004
X0001	DUE50	61	D: ULB	Universitäts- und Landesbibliothek Düsseldorf	NULL	3005
X0008	DUE50	61/08	D: Zentralbibl./Lehrb.	Universitäts- und Landesbibliothek Düsseldorf / Lehrbuchsammlung	NULL	3006
X0022	DUE50	61/22	D: FA Sportwiss.	Universitäts- und Landesbibliothek Düsseldorf / Fachapparat Sportwissenschaft	NULL	3007
X0025	DUE50	61/25	D: FB Philosophie	Universitäts- und Landesbibliothek Düsseldorf / Fachbibliothek Philosophie	NULL	3008
X0026	DUE50	61/26	D: FB Erziehungswiss	Universitäts- und Landesbibliothek Düsseldorf / Fachbibliothek Erziehungswissenschaft	NULL	3009
X0027	DUE50	61/27	D: FA Kunstgeschichte	Universitäts- und Landesbibliothek Düsseldorf / Fachapparat Kunstgeschichte	NULL	3010
X0028	DUE50	61/28	D: FB Geschichte	Universitäts- und Landesbibliothek Düsseldorf / Fachbibliothek Geschichte	NULL	3011
X0029	DUE50	61/29	D: FB Klass. Philologie	Universitäts- und Landesbibliothek Düsseldorf / Fachbibliothek Klassische Philologie	NULL	3012
X0030	DUE50	61/30	D: FB Germanistik	Universitäts- und Landesbibliothek Düsseldorf / Fachbibliothek Germanistik	NULL	3013
X0031	DUE50	61/31	D: FB Anglistik	Universitäts- und Landesbibliothek Düsseldorf / Fachbibliothek Anglistik	NULL	3014
X0032	DUE50	61/32	D: FB Romanistik	Universitäts- und Landesbibliothek Düsseldorf / Fachbibliothek Romanistik	NULL	3015
X0033	DUE50	61/33	D: FB Sozialwiss.	Universitäts- und Landesbibliothek Düsseldorf / Fachbibliothek Sozialwissenschaften	NULL	3016
X0035	DUE50	61/35	D: FB Ostasienwissensch.	Universitäts- und Landesbibliothek Düsseldorf / Fachbibliothek Ostasienwissenschaften	NULL	3017
