Wave	Name	Member Code	Institution Code	ISIL
0	hbz - Hochschulbibliothekszentrum des Landes Nordrhein-Westfalen	49HBZ_NETWORK	6441	DE-655
1	Technische Universität Dortmund	49HBZ_UBD	6445	DE-290
1	Universität Bielefeld	49HBZ_BIE	6442	DE-361
1	Universität Duisburg-Essen	49HBZ_UDE	6446	DE-465
1	Bergische Universität Wuppertal	49HBZ_WUP	6447	DE-468
1	Universität Düsseldorf	49HBZ_DUE	6443	DE-61
1	Hochschulbibliothek der FH Aachen	49HBZ_FHA	6444	DE-A96
2.1	Folkwang Universität der Künste	49HBZ_FUK	6459	DE-1156
2.1	FH / KA Münster	49HBZ_FHM	6485	DE-836
2.1	Hochschule Düsseldorf	49HBZ_HSD	6455	DE-Due62
2.1	Fachhochschule Südwestfalen	49HBZ_FSW	6461	DE-Hag4
2.2	Westfälische Hochschule	49HBZ_WHS	6456	DE-1010
2.2	Hochschule Bonn-Rhein-Sieg	49HBZ_BRS	6452	DE-1044
2.2	Hochschule Ruhr West	49HBZ_RUW	6453	DE-1393
2.2	Fernuniversität Hagen	49HBZ_FUH	6464	DE-708
2.2	Hochschule Bielefeld	49HBZ_HBI	6450	DE-Bi10
2.2	Hochschule Bochum	49HBZ_HBO	6454	DE-Bm40
2.3	RPTU Kaiserslautern-Landau	49HBZ_RTU	7476	DE-386
2.3	Universitätsbibliothek Paderborn	49HBZ_PAD	6463	DE-466
2.3	Universität Siegen	49HBZ_SIE	6462	DE-467
2.3	Universität Münster	49HBZ_ULM	6449	DE-6
2.3	RWTH Aachen	49HBZ_UBA	6448	DE-82
2.3	Fachhochschule Dortmund	49HBZ_FDO	6451	DE-Dm13
3.1	Katholische Hochschule Nordrhein-Westfalen	49HBZ_KHO	6474	DE-1032
3.1	Katholische Hochschule NRW, Köln (Bridge)	49HBZ_BRIDGE_KHO	7920	DE-1032
3.1	Rheinische Fachhochschule Köln	49HBZ_RFH	6484	DE-1140
3.1	Hochschule für Gesundheit	49HBZ_HGB	6481	DE-1866
3.1	Robert Schumann Hochschule Düsseldorf	49HBZ_RSH	6457	DE-1972
3.1	Robert Schumann Hochschule Düsseldorf (Bridge)	49HBZ_BRIDGE_RSH	7922	DE-1972
3.1	Universität Bonn	49HBZ_ULB	6467	DE-5
3.1	Universität Bonn  (Bridge)	49HBZ_BRIDGE_ULB	7502	DE-5
3.1	Hochschule Ostwestfalen-Lippe	49HBZ_OWL	6468	DE-743
3.1	Hochschule Ostwestfalen-Lippe (Bridge)	49HBZ_BRIDGE_OWL	7917	DE-743
3.1	Hochschule Niederrhein	49HBZ_HSN	8056	DE-829
3.1	Hochschule Niederrhein (Bridge)	49HBZ_BRIDGE_HSN	7916	DE-829
3.1	Kunsthochschule für Medien Köln	49HBZ_KHM	6473	DE-Kn185
3.2	Universität Bochum	49HBZ_UBO	6471	DE-294
3.2	Universität Bochum (Bridge)	49HBZ_BRIDGE_UBO	7503	DE-294
3.2	ZB MED	49HBZ_ZBM	6472	DE-38M
3.2	ZB MED, Köln/Bonn (Bridge)	49HBZ_BRIDGE_ZBM	7501	DE-38M
3.2	Hochschule Hamm-Lippstadt	49HBZ_HHL	6482	DE-1871
3.2	Kunstakademie Düsseldorf	49HBZ_KAD	6458	DE-Due18
3.2	Kunstakademie Düsseldorf (Bridge)	49HBZ_BRIDGE_KAD	7923	DE-Due18
3.2	Hochschule für Musik und Tanz Köln	49HBZ_HMT	6460	DE-Kn38
3.2	Hochschule für Musik und Tanz Köln (Bridge)	49HBZ_BRIDGE_HMT	7921	DE-Kn38
3.3	Hochschule Rhein-Waal	49HBZ_RHW	6479	DE-1383
3.3	Hochschule Rhein-Waal (Bridge)	49HBZ_BRIDGE_RHW	7919	DE-1383
3.3	Universität Köln	49HBZ_UBK	6476	DE-38
3.3	Universität Köln (Bridge)	49HBZ_BRIDGE_UBK	7147	DE-38
3.3	Universität Trier	49HBZ_UBT	6470	DE-385
3.3	Universität Trier (Bridge)	49HBZ_BRIDGE_UBT	8031	DE-385
3.3	Hochschule für Musik Detmold / Lippische Landesbibliothek	49HBZ_DET	6480	DE-51
3.3	Hochschule für Musik Detmold / Lippische Landesbibliothek (Bridge)	49HBZ_BRIDGE_DET	7918	DE-51
3.3	Technische Hochschule Köln (TH Köln)	49HBZ_THK	6477	DE-832
3.3	Technische Hochschule Köln (TH Köln) (Bridge)	49HBZ_BRIDGE_THK	7504	DE-832
3.3	Evangelische Hochschule Rheinland-Westfalen-Lippe	49HBZ_EVH	6483	DE-956
3.3	Technische Fachhochschule - Georg Agricola	49HBZ_TGA	6469	DE-Bm1
3.3	Deutsche Sporthochschule Köln	49HBZ_ZBS	6478	DE-Kn41
3.3	Deutsche Sporthochschule Köln (Bridge)	49HBZ_BRIDGE_ZBS	7146	DE-Kn41
3.3	Universität Koblenz	49HBZ_UKO	8057	DE-Kob7
3.3	Universität Koblenz (Bridge)	49HBZ_BRIDGE_UKO	7924	DE-Kob7
	Universitätsbibliothek Witten/Herdecke (Bridge)	49HBZ_BRIDGE_WIH	7828	DE-1018
4	Hochschule Trier, Umwelt-Campus Birkenfeld, Bibliothek (Bridge)	49HBZ_BRIDGE_UCB	7821	DE-1042
4	Hochschule Ludwigshafen - DLR Rheinpfalz	49HBZ_HSL	8976	DE-1116
4	Hochschule für Wirtschaft und Gesellschaft Ludwigshafen, Bibliothek (Bridge)	49HBZ_BRIDGE_HWG	7824	DE-1116
4	Hochschule Worms	49HBZ_HSW	8977	DE-1117
4	Hochschulbibliothek Worms (Bridge)	49HBZ_BRIDGE_HSW	7831	DE-1117
	Museum Schnütgen, Bibliothek, Köln (Bridge)	49HBZ_BRIDGE_BSK	7825	DE-2192
4	Landesbibliothekszentrum RLP (LBZ)	49HBZ_LBZ	8973	DE-929
4	Rheinische Landesbibliothek Koblenz (Bridge)	49HBZ_BRIDGE_LBZ	7506	DE-929
4	Hochschule Koblenz - RheinAhrCampus	49HBZ_HSK	8987	DE-987
4	Bibliothek der Hochschule Koblenz (Bridge)	49HBZ_BRIDGE_HSK	7829	DE-987
4	Deutsche Meteorologische Bibliothek (DWD), Offenbach	49HBZ_DWD	8975	DE-B23
4	Deutsche Meteorologische Bibliothek (DWD), Offenbach (DWD), Offenbach (Bridge)	49HBZ_BRIDGE_DWD	7818	DE-B23
	Museumsbibliothek der Stiftung Museum Schloss Moyland, Sammlung van der Grinten, Joseph Beuys Archiv des Landes Nordrhein-Westfalen, Bedburg-Hau (Bridge)	49HBZ_BRIDGE_MSM	7822	DE-Bed1
4	Haus der Geschichte des Ruhrgebiets	49HBZ_BDR	8974	DE-Bm3
4	Bibliothek des Ruhrgebiets, Bochum (Bridge)	49HBZ_BRIDGE_BDR	7508	DE-Bm3
	Museum Folkwang, Museumsbibliothek, Essen (Bridge)	49HBZ_BRIDGE_MFE	7827	DE-E10
4	Erzbischöfliche Diözesan- und Dombibliothek (EDK) - Bibliothek des Priesterseminars (BPS)	49HBZ_EDK	8971	DE-Kn28
4	Erzbischöfliche Diözesan- und Dombibliothek (Bridge)	49HBZ_BRIDGE_EDK	7507	DE-Kn28
