uri	label	multiLangLabelDe	multiLangLabelEn
http://id.loc.gov/vocabulary/relators/abr	Kürzende/r	Kürzende/r	Abridger
http://id.loc.gov/vocabulary/relators/act	Schauspieler/in	Schauspieler/in	Actor
http://id.loc.gov/vocabulary/relators/adi	Art Director	Art Director	Art director
http://id.loc.gov/vocabulary/relators/aft	Verfasser/in eines Nachworts	Verfasser/in eines Nachworts	Writer of afterword
http://id.loc.gov/vocabulary/relators/anm	Animation	Animation	Animator
http://id.loc.gov/vocabulary/relators/ann	Annotationen	Annotationen	Annotator
http://id.loc.gov/vocabulary/relators/ant	Basiert auf einem Werk von	Basiert auf einem Werk von	Bibliographic antecedent
http://id.loc.gov/vocabulary/relators/ape	Berufungsbeklagte/r / Revisionsbeklagte/r	Berufungsbeklagte/r / Revisionsbeklagte/r	Appellee
http://id.loc.gov/vocabulary/relators/apl	Berufungskläger/in / Revisionskläger/in	Berufungskläger/in / Revisionskläger/in	Appellant
http://id.loc.gov/vocabulary/relators/arc	Architekt/in	Architekt/in	Architect
http://id.loc.gov/vocabulary/relators/arr	Arrangement	Arrangement	Arranger of music
http://id.loc.gov/vocabulary/relators/art	Künstler/in	Künstler/in	Artist
http://id.loc.gov/vocabulary/relators/ato	Unterzeichner/in	Unterzeichner/in	Autographer
http://id.loc.gov/vocabulary/relators/aui	Vorwort	Vorwort	Writer of foreword
http://id.loc.gov/vocabulary/relators/aus	Drehbuch	Drehbuch	Screenwriter
http://id.loc.gov/vocabulary/relators/aut	Autor/in	Autor/in	Author
http://id.loc.gov/vocabulary/relators/bkd	Buchgestaltung	Buchgestaltung	Book designer
http://id.loc.gov/vocabulary/relators/bnd	Buchbinder/in	Buchbinder/in	Binder
http://id.loc.gov/vocabulary/relators/brd	Sender	Sender	Broadcaster
http://id.loc.gov/vocabulary/relators/brl	Brailleprägung	Braillesprägung	Braille embosser
http://id.loc.gov/vocabulary/relators/cas	Formguß	Formguß	Caster
http://id.loc.gov/vocabulary/relators/chr	Choreographie	Choreographie	Choreographer
http://id.loc.gov/vocabulary/relators/clb	Mitarbeit	Mitarbeit	Collaborator
http://id.loc.gov/vocabulary/relators/cll	Kalligrafie	Kalligrafie	Calligrapher
http://id.loc.gov/vocabulary/relators/clr	Kolorierung	Kolorierung	Colourist
http://id.loc.gov/vocabulary/relators/clt	Lichtdruck	Lichtdruck	Collotyper
http://id.loc.gov/vocabulary/relators/cmm	Kommentar	Kommentar	Commentator
http://id.loc.gov/vocabulary/relators/cmp	Komposition	Komposition	Composer
http://id.loc.gov/vocabulary/relators/cnd	Dirigent/in / Leitung	Dirigent/in / Leitung	Conductor
http://id.loc.gov/vocabulary/relators/cng	Kamera	Kamera	Cinematographer
http://id.loc.gov/vocabulary/relators/cns	Zensor/in	Zensor/in	Censor
http://id.loc.gov/vocabulary/relators/col	Sammler/in	Sammler/in	Collector
http://id.loc.gov/vocabulary/relators/com	Zusammengestellt von	Zusammengestellt von	Compiler
http://id.loc.gov/vocabulary/relators/cor	Registrar/in	Registrar/in	Collection registrar
http://id.loc.gov/vocabulary/relators/cou	Durch Verfahrensvorschriften geregeltes Gericht	Durch Verfahrensvorschriften geregeltes Gericht	Court governed
http://id.loc.gov/vocabulary/relators/cre	Schöpfer/in	Schöpfer/in	Creator
http://id.loc.gov/vocabulary/relators/crt	Gerichtsstenograf/in	Gerichtsstenograf/in	Court reporter
http://id.loc.gov/vocabulary/relators/csl	Beratung	Beratung	Consultant
http://id.loc.gov/vocabulary/relators/cst	Kostümdesign	Kostümdesign	Costume designer
http://id.loc.gov/vocabulary/relators/ctb	Beitragende/r	Beitragende/r	Contributor
http://id.loc.gov/vocabulary/relators/ctg	Kartografie	Kartografie	Cartographer
http://id.loc.gov/vocabulary/relators/ctr	Vertragspartner/in	Vertragspartner/in	Participant in a treaty
http://id.loc.gov/vocabulary/relators/cur	Kurator/in	Kurator/in	Curator
http://id.loc.gov/vocabulary/relators/dfd	Angeklagte/r	Angeklagte/r	Defendant
http://id.loc.gov/vocabulary/relators/dgg	Grad-verleihende Institution	Grad-verleihende Institution	Degree granting institution
http://id.loc.gov/vocabulary/relators/dgs	Akademische Betreuung	Akademische Betreuung	Degree supervisor
http://id.loc.gov/vocabulary/relators/dnc	Tänzer/in	Tänzer/in	Dancer
http://id.loc.gov/vocabulary/relators/dnr	Stifter/in	Stifter/in	Donor
http://id.loc.gov/vocabulary/relators/dpt	Leihgabe von	Leihgabe von	Depositor
http://id.loc.gov/vocabulary/relators/drm	Technische Zeichnungen	Technische Zeichnungen	Draftsman
http://id.loc.gov/vocabulary/relators/drt	Regie	Regie	Director
http://id.loc.gov/vocabulary/relators/dsr	Design	Design	Designer
http://id.loc.gov/vocabulary/relators/dst	Vertrieb	Vertrieb	Distributor
http://id.loc.gov/vocabulary/relators/dte	Gewidmet	Gewidmet	Dedicatee
http://id.loc.gov/vocabulary/relators/dto	Widmende/r	Widmende/r	Dedicator
http://id.loc.gov/vocabulary/relators/edm	Schnitt	Schnitt	Editor of moving image work
http://id.loc.gov/vocabulary/relators/edt	Herausgeber/in	Herausgeber/in	Editor
http://id.loc.gov/vocabulary/relators/egr	Stecher/in	Stecher/in	Engraver
http://id.loc.gov/vocabulary/relators/enj	Normerlassende Gebietskörperschaft	Normerlassende Gebietskörperschaft	Enacting jurisdiction
http://id.loc.gov/vocabulary/relators/etr	Radierer/in	Radierer/in	Etcher
http://id.loc.gov/vocabulary/relators/fds	Filmvertrieb	Filmvertrieb	Film distributor
http://id.loc.gov/vocabulary/relators/fmd	Filmregie	Filmregie	Film director
http://id.loc.gov/vocabulary/relators/fmk	Filmemacher/in	Filmemacher/in	Filmmaker
http://id.loc.gov/vocabulary/relators/fmo	frühere/r Eigentümer/in	frühere/r Eigentümer/in	Former owner
http://id.loc.gov/vocabulary/relators/fmp	Filmproduktion	Filmproduktion	Film producer
http://id.loc.gov/vocabulary/relators/his	Gastgebende Institution	Gastgebende Institution	Host institution
http://id.loc.gov/vocabulary/relators/hnr	Gefeierte Person	Gefeierte Person	Honouree
http://id.loc.gov/vocabulary/relators/hst	Gastgeber/in	Gastgeber/in	Host
http://id.loc.gov/vocabulary/relators/ill	Illustration	Illustration	Illustrator
http://id.loc.gov/vocabulary/relators/ilu	Illuminator/in	Illuminator/in	Illuminator
http://id.loc.gov/vocabulary/relators/ins	Beschriftende Person	Beschriftende Person	Inscriber
http://id.loc.gov/vocabulary/relators/inv	Erfinder/in	Erfinder/in	Inventor
http://id.loc.gov/vocabulary/relators/isb	Herausgeber/in	Herausgeber/in	Issuing body
http://id.loc.gov/vocabulary/relators/itr	Instrumentalmusiker/in	Instrumentalmusiker/in	Instrumentalist
http://id.loc.gov/vocabulary/relators/ive	Interviewte/r	Interviewte/r	Interviewee
http://id.loc.gov/vocabulary/relators/ivr	Interviewer/in	Interviewer/in	Interviewer
http://id.loc.gov/vocabulary/relators/jud	Richter/in	Richter/in	Judge
http://id.loc.gov/vocabulary/relators/jug	Geregelte Gebietskörperschaft	Geregelte Gebietskörperschaft	Jurisdiction governed
http://id.loc.gov/vocabulary/relators/lbt	Libretto	Libretto	Librettist
http://id.loc.gov/vocabulary/relators/led	Leitung	Leitung	Lead
http://id.loc.gov/vocabulary/relators/lgd	Lichtgestaltung	Lichtgestaltung	Lighting designer
http://id.loc.gov/vocabulary/relators/lsa	Landschaftsarchitekt/in	Landschaftsarchitekt/in	Landscape architect
http://id.loc.gov/vocabulary/relators/ltg	Lithografie	Lithografie	Lithographer
http://id.loc.gov/vocabulary/relators/lyr	Textdichter/in	Textdichter/in	Lyricist
http://id.loc.gov/vocabulary/relators/med	Medium	Medium	Medium
http://id.loc.gov/vocabulary/relators/mfr	Herstellung	Herstellung	Manufacturer
http://id.loc.gov/vocabulary/relators/mod	Moderation	Moderation	Moderator
http://id.loc.gov/vocabulary/relators/msd	Musikalische Leitung	Musikalische Leitung	Musical director
http://id.loc.gov/vocabulary/relators/mtk	Protokoll	Protokoll	Minute taker
http://id.loc.gov/vocabulary/relators/mus	Musiker/in	Musiker/in	Musician
http://id.loc.gov/vocabulary/relators/nrt	Erzähler/in	Erzähler/in	Narrator
http://id.loc.gov/vocabulary/relators/org	Begründet durch	Begründet durch	Originator
http://id.loc.gov/vocabulary/relators/orm	Veranstalter/in	Veranstalter/in	Organizer
