Urheberkennung	Name der Bibliothek	ISIL-Bibliothek
0001	Berlin SBB [1+1a+1w]	DE-1
0001	Berlin SBB [1+1a+1w]	DE-1
0001	Berlin SBB [1+1a+1w]	DE-1
0001	Berlin SBB (Level 3)	DE-1
0003	Halle UuLB FE3	DE-3
0003	Halle ULB, Sprach-Red	DE-3
0003	Halle ULB	DE-3
0003	Halle UuLB FE1	DE-3
0003	Halle ULB, VD17	DE-3
0003	Halle UuLB FE3	DE-3
0003	Halle UuLB SE3	DE-3
0004	Marburg UB [4]	DE-4
0004	Marburg UB, FE-Red	DE-4
0004	Marburg UB, FE	DE-4
0006	Münster UuLB ONS/SRU RU	DE-6
0007	Goettingen SuUB, SE-Red	DE-7
0007	Goettingen SuUB FE3	DE-7
0007	Goettingen SuUB, Sprach-Red	DE-7
0007	Goettingen SUB FE1	DE-7
0007	Goettingen SuUB, VD17	DE-7
0007	Goettingen SUB (SE Level 3)	DE-7
0007	GOETTINGEN MATH. INST. (LEV. 3)	DE-7-003
0007	Goettingen UB Bibl. d. Jur. Sem.	DE-7-037
0007	Goettingen Sem. Dt. Phil. (L. 3)	DE-7-052
0008	Kiel UB FE3	DE-8
0008	Kiel UB. Sprach-Red.	DE-8
0008	Kiel UB FE1	DE-8
0008	Kiel UB, VD17	DE-8
0008	Kiel UB (Level 3)	DE-8
0008	Kiel UB	DE-8
0009	Greifswald UB FE3	DE-9
0009	Greifswald UB, Sprach-Red	DE-9
0009	Greifswald UB FE1	DE-9
0009	Greifswald UB (Level 3)	DE-9
0012	Muenchen BSB, SE-Red.	DE-12
0012	Muenchen BSB, FE-Red	DE-12
0012	Muenchen BSB, FE	DE-12
0012	Muenchen BSB, Sprach-Red.	DE-12
0012	Muenchen BSB, SE-Red. 2 (Lev. 3)	DE-12
0012	Muenchen BSB, FE 2	DE-12
0014	Dresden SLUB [14]	DE-14
0014	Dresden SLUB, FE	DE-14
0014	Dresden SLUB (Level 3)	DE-14
0014	Dresden SLUB FE4	DE-14
0014	Dresden SLUB SE4	DE-14
0015	Leipzig UB, FE	DE-15
0015	Leipzig UB (Level 4)	DE-15
0016	Heidelberg UB [16]	DE-16
0016	Heidelberg UB, SE	DE-16
0016	Heidelberg UB, FE	DE-16
0016	Heidelberg UB SE-Red (L. 1)	DE-16
0016	Heidelberg UB (Level 3)	DE-16
0016	Heidelberg UB (FE Level 4)	DE-16
0016	Heidelberg UB (SE Level 4)	DE-16
0016	Heidelberg HSbibliographie (L3)	DE-16-250
0016	Heidelberg HSbibliographie (L4)	DE-16-250
0016	Heidelberg UB, SAI, SE	DE-16-77
0016	Heidelberg UB, SAI, FE	DE-16-77
0016	Heidelberg UB, SAI (Level 3)	DE-16-77
0017	Darmstadt ULB [17]	DE-17
0017	Darmstadt ULB, FE-Red	DE-17
0017	Darmstadt ULB, FE	DE-17
0017	Darmstadt ULB, SE-Red	DE-17
0018	Hamburg SUB, SE-Red	DE-18
0018	Hamburg SUB FE3	DE-18
0018	Hamburg SUB, Sprach-Red	DE-18
0018	Hamburg SUB FE1	DE-18
0018	Hamburg SUB, VD17	DE-18
0018	Hamburg SUB Zentr. Normd. FE3	DE-18-312
0018	Hamburg HAW FB LS FE3	DE-18-284
0018	Hamburg HAW (Level 3)	DE-18-302
0018	Hamburg UKE FE3	DE-18-64
0019	Muenchen UB, SE-Red.	DE-19
0019	Muenchen UB, FE-Red.	DE-19
0019	Muenchen UB, FE	DE-19
0020	Wuerzburg UB, FE-Red	DE-20
0020	Wuerzburg UB, FE	DE-20
0021	Tuebingen UB, SE-Red	DE-21
0021	Tuebingen UB, FE	DE-21
0021	Tuebingen UB (Level 3)	DE-21
0021	Tübingen Inst. Kriminolog. FE3	DE-21-110
0021	Tübingen Theologicum FE3	DE-21-31
0021	Tuebingen UB (KIZ) (Level 4)	DE-21
0023	Wolfenbuettel HAB, FE-Red.	DE-23
0023	Wolfenbuettel HAB, FE	DE-23
0023	Wolfenbuettel HAB	DE-23
0023	Wolfenbuettel HAB (Level 3)	DE-23
0024	Stuttgart Württ. LB [24]	DE-24
0024	Stuttgart WLB, SE-Red	DE-24
0024	Stuttgart Wuertt. LB, FE	DE-24
0024	Stuttgart WLB (Level 3)	DE-24
0024	Stuttgart WLB (Level 4)	DE-24
0025	Freiburg UB [25]	DE-25
0025	Freiburg UB [25]	DE-25
0025	Freiburg UB, SE-Red	DE-25
0025	Freiburg UB, FE	DE-25
0025	Freiburg UB (Level 3)	DE-25
0025	Freiburg UB (Level 4)	DE-25
0026	Giessen UB [26]	DE-26
0026	Giessen UB, FE-Red	DE-26
0026	Giessen UB, FE	DE-26
0026	Giessen UB, FE	DE-26
0027	Jena THULB FE3	DE-27
0027	Jena THULB Musik FE3	DE-27
0027	Jena ThULB FE1	DE-27
0027	Jena THULB (Level 3)	DE-27
0028	Rostock UB, FE Red.	DE-28
0028	Rostock UB, FE	DE-28
0028	Rostock UB (Level 3)	DE-28
0029	Erlangen UB, FE-Red	DE-29
0029	Erlangen UB, FE	DE-29
0030	Frankfurt/M StuUB [30]	DE-30
0030	Frankfurt/M StuUB, FE-Red	DE-30
0030	Frankfurt/M StuUB, FE	DE-30
0031	Karlsruhe BLB, FE	DE-31
0031	Karlsruhe BLB (Level 3)	DE-31
0031	Karlsruhe BLB (Level 4)	DE-31
0032	Weimar HAAB FE3	DE-32
0032	Weimar HAAB FE1	DE-32
0032	Weimar HAAB, VD17	DE-32
0032	Weimar HAAB FE3	DE-32
0032	Weimar HAAB SE3	DE-32
0033	Schwerin LBMV, FE	DE-33
0033	Schwerin LBMV (Level 3)	DE-33
0034	Kassel GHB [34]	DE-34
0034	Kassel GHB, FE-Red	DE-34
0034	Kassel GHB, FE	DE-34
0035	Hannover NLB, FE	DE-35
0035	Hannover NLB, VD17	DE-35
0036	Mainz StBi [36]	DE-36
0036	Mainz StBi, FE-Red	DE-36
0036	Mainz StBi, FE	DE-36
0038	Koeln UuSTB, SE	DE-38
0043	Wiesbaden LB [43]	DE-43
0043	Wiesbaden LB [43], FE-Red	DE-43
0043	Wiesbaden LB [43], FE	DE-43
0045	Oldenburg LB, FE	DE-45
0046	Bremen SuUB FE3	DE-46
0046	Bremen SuUB FE1	DE-46
0046	Bremen SuUB Musik FE3	DE-46
0048	Luebeck StB FE1	DE-48
0056	Braunschweig StBi VD17	DE-56
0056	Braunschweig StBi	DE-56
0059	Chemnitz STB (Level 3)	DE-59
0066	Fulda HLB [66]	DE-66
0066	Fulda HLB, FE-Red	DE-66
0066	Fulda HLB, FE	DE-66
0068	Kiel LB, FE	DE-68
0068	Kiel LB SE3	DE-68
0075	Nuernberg StB, FE	DE-75
0077	Mainz UB [77]	DE-77
0077	Mainz UB, FE-Red	DE-77
0077	Mainz UB, FE	DE-77
0083	Berlin UB TU, SE	DE-83
0083	Berlin UB TU, FE	DE-83
0083	Berlin, UB TU, GKD	DE-83
0084	Braunschweig UB TU, FE	DE-84
0089	Hannover TIB FE3	DE-89
0089	Hannover TIB/UB (Level 3)	DE-89
0090	Karlsruhe UB, FE	DE-90
0090	Karlsruhe UB (KIT) (Level 3)	DE-90
0090	Karlsruhe UB (KIT) (Level 4)	DE-90
0091	Muenchen TU, FE-Red	DE-91
0091	Muenchen TU, FE	DE-91
0093	Stuttgart UB [93]	DE-93
0093	Stuttgart UB, FE	DE-93
0093	Stuttgart UB (Level 3)	DE-93
0093	Stuttgart UB (Level 4)	DE-93
0095	Hannover TierHS, FE-Red	DE-95
0095	Hannover TierHS, FE	DE-95
0100	Stuttgart UB Hohenheim, FE	DE-100
0100	Stuttgart-Hoh. KIM (Level 3)	DE100
0100	Stuttgart-Hoh. KIM (Level 4)	DE-100
0103	SBB / ZKA	DE-611
0103	SBB / ZKA (Level 1)	DE-611
