
Münsterland | 10	Q1700
Emscher-Gebiet | 10	Q26271345
Münsterland <West> | 10	Q1746460
Hellwegbörde | 10	Q896058
Senne <Landschaft> | 10	Q767106
Paderborner Hochfläche | 10	Q1432757
Westmünsterland | 10	Q1746460
Senne | 10	Q767106
Emschergebiet | 10	Q26271345
Münsterland <Ost> | 10	Q1123895
Münsterland <Nord> | 10	Q56033157
Münsterland <Süd> | 10	Q56033167
Delbrücker Land | 10	Q1184019
Senne, Landschaft | 10	Q767106
Teutoburger Wald | 12	Q109773
Eggegebirge | 12	Q464473
Minden-Ravensberg | 12	Q876515
Ravensberger Land | 12	Q2133651
Tecklenburg <Region> | 12	Q317108
Lipper Bergland | 12	Q875161
Wiehengebirge | 12	Q702826
Warburger Börde | 12	Q2548986
Osning | 12	Q30602340
Lippischer Wald | 12	Q31312912
Oberwälder Land | 12	Q2011523
Sauerland <Nord> | 14	Q56041996
Rothaargebirge | 14	Q4219
Sauerland <Süd> | 14	Q56042224
Arnsberger Wald | 14	Q31553414
Sauerland <West> | 14	Q56042007
Ebbegebirge | 14	Q778810
Sauerland <Ost> | 14	Q56042004
Homert | 14	Q1487002
Sauerland, Süd | 14	Q56042224
Rheinisches Braunkohlenrevier | 24	Q2147825
Niederrheinische Bucht | 24	Q1243986
Niederrheinisches Tiefland | 24	Q212520
Ville <Kölner Bucht> | 24	Q1243933
Schwalm-Nette-Platte | 24	Q47445689
Jülicher Börde | 24	Q47454940
Kölner Bucht | 24	Q884315
Selfkant | 24	Q981347
Zülpicher Börde | 24	Q47454950
Niederrheinischer Höhenzug | 24	Q1749655
Selfkant <Landschaft> | 24	Q981347
Ville, Kölner Bucht | 24	Q1243933
Niederrheinische Sandplatten | 24	Q47444602
Nordeifel | 28	Q1997843
Hohes Venn | 28	Q599193
Monschauer Land | 28	Q63191391
Monschauer Heckenland | 28	Q993449
Rureifel | 28	Q1406857
Kalkeifel | 28	Q14212620
Mechernicher Voreifel | 28	Q2533842
Stift Essen | 52	Q564155
Kloster Werden | 52	Q688373
Reichsabtei Kornelimünster | 52	Q152432
Reichsabtei Burtscheid | 52	Q325202
Grafschaft Moers | 54	Q328928
Herzogtum Arenberg | 54	Q551530
Grafschaft Gimborn-Neustadt | 54	Q876552
Herrschaft Homburg, Nümbrecht | 54	Q47443308
Grafschaft Sayn | 54	Q553182
Grafschaft Kerpen und Lommersum | 54	Q1541708
Hochstift Corvey | 72	Q15130492
Herford (Reichsstift) | 72	Q316174
Nassau-Siegen | 74	Q736029
Grafschaft Rietberg | 74	Q457468
Grafschaft Tecklenburg | 74	Q881030
Grafschaft Sayn-Wittgenstein-Berleburg | 74	Q3821487
Grafschaft Limburg | 74	Q315663
Herrschaft Rheda | 74	Q932656
Herrschaft Gemen | 74	Q477038
Grafschaft Lingen <Ems> | 74	Q879507
Herrlichkeit Lembeck | 74	Q55890544
Grafschaft Arnsberg | 74	Q315288
Grafschaft Sayn-Wittgenstein-Hohenstein | 74	Q3821213
Grafschaft Wittgenstein | 74	Q56005590
Grafschaft Pyrmont | 74	Q825489
Grafschaft Sayn-Wittgenstein | 74	Q56007789
Herrschaft Anholt | 74	Q55721822
Grafschaft Steinfurt <Westfalen> | 74	Q1614442
Fürstentum Minden | 74	Q876546
Staat Waldeck | 74	Q165763
Herrschaft Volmarstein | 74	Q55986040
Grafschaft Sayn-Wittgenstein-Wittgenstein | 74	Q3821604
Fürstentum Salm | 74	Q11026135
Fürstentum Rheina-Wolbeck | 74	Q628609
Nassau-Dillenburg | 74	Q328545
Herrschaft Canstein | 74	Q55936383
Grafschaft Sternberg | 74	Q1452958
Grafschaft Schwalenberg | 74	Q1541799
Grafschaft Grönebach | 74	Q56008058
Grafschaft Dortmund | 74	Q1265044
Herrschaft Büren <Paderborn> | 74	Q1020946
Herrschaft Horstmar | 74	Q55888099
Herrlichkeit Heessen | 74	Q55984306
Grafschaft Sayn-Altenkirchen | 74	Q544579
Diözese Corvey | 36	Q3708105
Dekanat Ahlen | 37	Q56372838
Dekanat Wormbach | 37	Q56397821
Dekanat Siegen | 37	Q56099854
Dekanat Rheine | 37	Q56374605
Dekanat Olpe | 37	Q56398321
Dekanat Werl | 37	Q56398551
Dekanat Warendorf | 37	Q56373241
Dekanat Vechta | 37	Q56395271
Dekanat Sundern | 37	Q56398029
Dekanat Steinheim | 37	Q56402341
Dekanat Steinfurt <Westfalen> | 37	Q56374635
Dekanat Recklinghausen | 37	Q56395213
Dekanat Lippe | 37	Q56395068
Dekanat Iserlohn | 37	Q56398420
Dekanat Hochsauerland-Mitte | 37	Q56099734
Dekanat Dorsten | 37	Q56395189
Dekanat Borken | 37	Q56373947
Dekanat Bigge-Medebach | 37	Q56397874
Dekanat Beckum | 37	Q56373173
Dekanat Attendorn | 37	Q56398251
Dekanat Ahaus-Vreden | 37	Q56373671
Dekanat Dortmund | 37	Q56099483
Dekanat Meschede | 37	Q56397628
Dekanat Wattenscheid | 37	Q56398585
Hamm-Bockum-Hövel | 99	Q1573603
Bockum-Hövel | 99	Q1573603
Dornberg <Bielefeld> | 99	Q884493
Bielefeld-Dornberg | 99	Q884493
Bielefeld-Gadderbaum | 99 | 99	Q1490832
Gadderbaum | 99	Q1490832
Münster-Nord | 99	Q1761685
Münster-West | 99	Q1318888
Münster-Ost | 99	Q1503134
Diözese Minden (Westf) | 36	Q883257
Münster <Westfalen, Diözese> | 36	Q769380
Diözese Münster (Westf) | 36	Q769380
Münster (Diözese) | 36	Q769380
Erzdiözese Köln | 36	Q11805
Köln <Diözese> | 36	Q11805
Diözese Köln | 36	Q11805
Köln (Erzdiözese) | 36	Q11805
Bielefeld-Senne | 99	Q1457938
Seelbach-Marienthal | 99	Q645030
Hamm | 99	Q2880
Castrop | 99	Q151243
Hastenrath | 99	Q1271768
Werne | 99  Q10936
