item	itemLabel,types,coordinates
http://www.wikidata.org/entity/Q152421	Altenrath,http://www.wikidata.org/entity/Q253019,Point(7.19682 50.8571)
http://www.wikidata.org/entity/Q1777892	Kobeshofen,http://www.wikidata.org/entity/Q253019,Point(7.34389 51.1378)
http://www.wikidata.org/entity/Q2234427	Schiefelbusch,http://www.wikidata.org/entity/Q253019,Point(7.22811 50.8987)
http://www.wikidata.org/entity/Q863347	Bilstein,http://www.wikidata.org/entity/Q253019,Point(8.01889 51.0944)
http://www.wikidata.org/entity/Q1348389	Erbland,http://www.wikidata.org/entity/Q253019,Point(7.50639 50.9864)
http://www.wikidata.org/entity/Q886302	Blumenthal,http://www.wikidata.org/entity/Q253019,Point(7.92736 51.5326)
http://www.wikidata.org/entity/Q1000709	Budberg,http://www.wikidata.org/entity/Q253019,Point(7.87632 51.5646)
http://www.wikidata.org/entity/Q1283656	Ederen,"http://www.wikidata.org/entity/Q253019, http://www.wikidata.org/entity/Q486972",Point(6.25 50.95)
http://www.wikidata.org/entity/Q21039908	Höffen,http://www.wikidata.org/entity/Q253019,Point(7.099641 51.00176)
http://www.wikidata.org/entity/Q151295	Vicht,http://www.wikidata.org/entity/Q253019,Point(6.265833333 50.743611111)
http://www.wikidata.org/entity/Q230321	Zur Linden,http://www.wikidata.org/entity/Q253019,Point(7.04446 51.2214)
http://www.wikidata.org/entity/Q1550161	Grube Ziethen,http://www.wikidata.org/entity/Q253019,Point(7.28417 50.7894)
http://www.wikidata.org/entity/Q1747972	Raumland,http://www.wikidata.org/entity/Q253019,Point(8.386111111 51.0325)
http://www.wikidata.org/entity/Q29878892	Bosbach,http://www.wikidata.org/entity/Q253019,
http://www.wikidata.org/entity/Q27901870	Berzbach,http://www.wikidata.org/entity/Q253019,Point(7.436389 50.891944)
http://www.wikidata.org/entity/Q55985393	Rahm,http://www.wikidata.org/entity/Q253019,Point(6.439416666 51.431416666)
http://www.wikidata.org/entity/Q29167453	Oberselbach,http://www.wikidata.org/entity/Q253019,
http://www.wikidata.org/entity/Q1626140	Hommersum,http://www.wikidata.org/entity/Q253019,Point(6.033333333 51.683611111)
http://www.wikidata.org/entity/Q819728	Berghausen,http://www.wikidata.org/entity/Q253019,Point(6.9258 51.1131)
http://www.wikidata.org/entity/Q26271443	Büchel,http://www.wikidata.org/entity/Q253019,
http://www.wikidata.org/entity/Q2133626	Raveneck,http://www.wikidata.org/entity/Q253019,Point(7.34111 50.7522)
http://www.wikidata.org/entity/Q27890119	Reinshagen,http://www.wikidata.org/entity/Q253019,Point(7.420833 50.884444)
http://www.wikidata.org/entity/Q16830973	Dackmar,http://www.wikidata.org/entity/Q253019,Point(8.069215 51.975645)
http://www.wikidata.org/entity/Q18923127	Klausen,http://www.wikidata.org/entity/Q253019,Point(7.20356111 51.19682222)
http://www.wikidata.org/entity/Q1017351	Buschhütten,http://www.wikidata.org/entity/Q253019,Point(8.00083 50.9397)
http://www.wikidata.org/entity/Q1543152	Kreis Lemgo,http://www.wikidata.org/entity/Q106658,Point(8.91167 52.0272)
http://www.wikidata.org/entity/Q2805	Krefeld,"http://www.wikidata.org/entity/Q22865, http://www.wikidata.org/entity/Q1549591, http://www.wikidata.org/entity/Q262166, http://www.wikidata.org/entity/Q42744322",Point(6.566666666 51.333333333)
http://www.wikidata.org/entity/Q1402255	Feld,http://www.wikidata.org/entity/Q253019,Point(7.71194 50.9175)
http://www.wikidata.org/entity/Q1617325	Hiddingsel,http://www.wikidata.org/entity/Q253019,Point(7.4025 51.8358)
http://www.wikidata.org/entity/Q865937	Birzel,http://www.wikidata.org/entity/Q253019,Point(7.74806 50.8692)
http://www.wikidata.org/entity/Q1019964	Börninghausen,http://www.wikidata.org/entity/Q253019,Point(8.49694 52.275)
http://www.wikidata.org/entity/Q1392090	Fahlenscheid,http://www.wikidata.org/entity/Q253019,Point(7.945833333 51.057777777)
